#离子类型提取自MS-Dial，Mona MS等公开库，以及老版本的自建库
#后续将继续在无法识别的precursor中继续丰富precursor type
#判断两个加合离子峰是否相同的依据
#       type的分子式一致和电荷一致，注意M的系数也应该一致
#       在人工识别重复时，可先根据offset是否一致判断
ionmode,type,offset,n,charge,comment
Negative,[M-C6H3I2O]-,-344.82733,1,1,
Negative,[M-C12H21O10]-,-325.11347,1,1,
Positive,[M+H-C12H20O9]+,-307.10291,1,1,
Positive,[M-C16H17N2O3]+,-285.12392,1,1,
Negative,[M-C6H10O9P]-,-257.00624,1,1,
Positive,[M+H-C9H10O5]+,-197.045,1,1,
Positive,[M-C15H25+Na]+,-182.20586,1,1,
Negative,[M-C5H13NO4P]-,-182.05822,1,1,
Positive,[M-C6H10ClO4]+,-181.02676,1,1,
Positive,[M-C6H11O6]+,-179.05556,1,1,
Negative,[M-C6H8O6-H]-,-177.03991,1,1,
Positive,[M-C9H5O4]+,-177.01878,1,1,
Negative,[M-C7H6N5O]-,-176.05723,1,1,
Positive,[M-C6H8O6+H]+,-175.02426,1,1,
Positive,[M-C6H8NO5]+,-174.04025,1,1,
Negative,[M-C7H5O5]-,-169.0137,1,1,
Positive,[M-C14H23+Na]+,-168.19021,1,1,
Negative,[M-C6H11O5]-,-163.06065,1,1,
Positive,[M-C6H10O5+H]+,-161.045,1,1,
Negative,[M-H3O6P2]-,-160.94049,1,1,
Negative,[M-C7H5O4]-,-153.01878,1,1,
Negative,[M-C6H12O4]-,-148.07356,1,1,
Negative,[M-C6H11O4]-,-147.06573,1,1,
Positive,[M-C5H8NO4]+,-146.04533,1,1,
Positive,[M-C9H7O2+H]+,-146.03678,1,1,
Positive,[M-C6H10O4+H]+,-145.05008,1,1,
Negative,[M-C8H13O2]-,-141.09155,1,1,
Negative,[M-C10H19]-,-139.14868,1,1,
Positive,[M-C8H10NO]+,-136.07624,1,1,
Positive,[M-C5H4N5]+,-134.04667,1,1,
Negative,[M-C5H9O4]-,-133.05008,1,1,
Positive,[M-C11H21+Na]+,-130.17456,1,1,
Negative,[M-C5H8NO3]-,-130.05042,1,1,
Positive,[M-C8H17O]+,-129.12794,1,1,
Negative,[M-I]-,-126.90447,1,1,
Negative,[M-C6H7N2O]-,-123.05584,1,1,
Negative,[M-C7H7O2]-,-123.0446,1,1,
Positive,[M-C6H6N2O+H]+,-121.04019,1,1,
Negative,[M-C8H7O]-,-119.04969,1,1,
Negative,[M-C5H9O3]-,-117.05517,1,1,
Positive,[M-C10H17+Na]+,-114.14326,1,1,
Negative,[M-C8H17]-,-113.13303,1,1,
Positive,[M-C7H13O]+,-113.09664,1,1,
Positive,[M-C4H3N2O2]+,-111.01945,1,1,
Negative,[M-CH4O4P]-,-110.98472,1,1,
Negative,[M-C6H5O2]-,-109.02895,1,1,
Negative,[M-C7H7O]-,-107.04969,1,1,
Positive,[M-C9H15+Na]+,-100.12761,1,1,
Positive,[M-C7H15]+,-99.11738,1,1,
Positive,[M-C6H6N2O+Na]+,-99.05824,1,1,
Negative,[M-C7H13]-,-97.10173,1,1,
Negative,[M-H2O4P]-,-96.96907,1,1,
Positive,[M-H2O4P]+,-96.96907,1,1,
Negative,[M-C7H11]-,-95.08608,1,1,
Positive,[M-5H2O+H]+,-89.045,1,1,
Negative,[M-C3H6NO2]-,-88.03985,1,1,
Positive,[M-C3H7N2O]+,-87.05584,1,1,
